2026-03-08 12:51:08,734 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:5353 → 224.0.0.251:5353 | proto=udp | dur=-s
2026-03-08 12:51:08,737 [ALERT] [ALERT] prob=1.000 | fe80::209e:fbda:fed3:a44:5353 → ff02::fb:5353 | proto=udp | dur=-s
2026-03-08 12:51:08,738 [ALERT] [ALERT] prob=1.000 | fe80::209e:fbda:fed3:a44:133 → ff02::2:134 | proto=icmp | dur=-s
2026-03-08 12:51:08,742 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:33170 → 91.189.91.96:80 | proto=tcp | dur=-s
2026-03-08 12:51:08,745 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1720 | proto=tcp | dur=-s
2026-03-08 12:51:08,746 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:23 | proto=tcp | dur=-s
2026-03-08 12:51:08,747 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:3306 | proto=tcp | dur=0.000649s
2026-03-08 12:51:08,750 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:139 | proto=tcp | dur=-s
2026-03-08 12:51:08,751 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:53 | proto=tcp | dur=-s
2026-03-08 12:51:08,752 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:993 | proto=tcp | dur=-s
2026-03-08 12:51:08,753 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:80 | proto=tcp | dur=-s
2026-03-08 12:51:08,754 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:25 | proto=tcp | dur=-s
2026-03-08 12:51:08,755 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:995 | proto=tcp | dur=-s
2026-03-08 12:51:08,756 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:554 | proto=tcp | dur=-s
2026-03-08 12:51:08,756 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1723 | proto=tcp | dur=-s
2026-03-08 12:51:08,757 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:113 | proto=tcp | dur=-s
2026-03-08 12:51:08,759 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:113 | proto=tcp | dur=-s
2026-03-08 12:51:08,759 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1723 | proto=tcp | dur=-s
2026-03-08 12:51:08,760 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:554 | proto=tcp | dur=-s
2026-03-08 12:51:08,761 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:995 | proto=tcp | dur=-s
2026-03-08 12:51:08,761 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:25 | proto=tcp | dur=-s
2026-03-08 12:51:08,762 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:80 | proto=tcp | dur=-s
2026-03-08 12:51:08,762 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:993 | proto=tcp | dur=-s
2026-03-08 12:51:08,762 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:53 | proto=tcp | dur=-s
2026-03-08 12:51:08,763 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:139 | proto=tcp | dur=-s
2026-03-08 12:51:08,764 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:23 | proto=tcp | dur=-s
2026-03-08 12:51:08,766 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1720 | proto=tcp | dur=-s
2026-03-08 12:51:08,767 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:110 | proto=tcp | dur=-s
2026-03-08 12:51:08,768 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:143 | proto=tcp | dur=-s
2026-03-08 12:51:08,769 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:443 | proto=tcp | dur=-s
2026-03-08 12:51:08,770 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:445 | proto=tcp | dur=-s
2026-03-08 12:51:08,771 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:3389 | proto=tcp | dur=-s
2026-03-08 12:51:08,772 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:111 | proto=tcp | dur=-s
2026-03-08 12:51:08,775 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:587 | proto=tcp | dur=-s
2026-03-08 12:51:08,777 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:256 | proto=tcp | dur=-s
2026-03-08 12:51:08,778 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1025 | proto=tcp | dur=-s
2026-03-08 12:51:08,779 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:22 | proto=tcp | dur=-s
2026-03-08 12:51:08,779 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:8888 | proto=tcp | dur=-s
2026-03-08 12:51:08,780 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45945 → 192.168.244.1:3306 | proto=tcp | dur=0.000874s
2026-03-08 12:51:08,780 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:111 | proto=tcp | dur=-s
2026-03-08 12:51:08,781 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:3389 | proto=tcp | dur=-s
2026-03-08 12:51:08,782 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:445 | proto=tcp | dur=-s
2026-03-08 12:51:08,783 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:443 | proto=tcp | dur=-s
2026-03-08 12:51:08,785 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:143 | proto=tcp | dur=-s
2026-03-08 12:51:08,786 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:110 | proto=tcp | dur=-s
2026-03-08 12:51:08,787 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:135 | proto=tcp | dur=-s
2026-03-08 12:51:08,788 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:5900 | proto=tcp | dur=-s
2026-03-08 12:51:08,790 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:21 | proto=tcp | dur=-s
2026-03-08 12:51:08,791 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:199 | proto=tcp | dur=-s
2026-03-08 12:51:08,791 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:8080 | proto=tcp | dur=-s
2026-03-08 12:51:08,792 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:9593 | proto=tcp | dur=-s
2026-03-08 12:51:08,793 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:10628 | proto=tcp | dur=-s
2026-03-08 12:51:08,793 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:2046 | proto=tcp | dur=-s
2026-03-08 12:51:08,793 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:2103 | proto=tcp | dur=-s
2026-03-08 12:51:08,794 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1169 | proto=tcp | dur=-s
2026-03-08 12:51:08,794 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:6666 | proto=tcp | dur=-s
2026-03-08 12:51:08,795 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:5950 | proto=tcp | dur=-s
2026-03-08 12:51:08,796 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:10621 | proto=tcp | dur=-s
2026-03-08 12:51:08,797 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:8022 | proto=tcp | dur=-s
2026-03-08 12:51:08,798 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:9002 | proto=tcp | dur=-s
2026-03-08 12:51:08,799 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:34573 | proto=tcp | dur=-s
2026-03-08 12:51:08,800 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:9050 | proto=tcp | dur=-s
2026-03-08 12:51:08,801 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:20031 | proto=tcp | dur=-s
2026-03-08 12:51:08,802 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:5087 | proto=tcp | dur=-s
2026-03-08 12:51:08,803 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:9081 | proto=tcp | dur=-s
2026-03-08 12:51:08,803 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1277 | proto=tcp | dur=-s
2026-03-08 12:51:08,804 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:5222 | proto=tcp | dur=-s
2026-03-08 12:51:08,805 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:5633 | proto=tcp | dur=-s
2026-03-08 12:51:08,806 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:3283 | proto=tcp | dur=-s
2026-03-08 12:51:08,808 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1076 | proto=tcp | dur=-s
2026-03-08 12:51:08,809 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:9009 | proto=tcp | dur=-s
2026-03-08 12:51:08,810 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1900 | proto=tcp | dur=-s
2026-03-08 12:51:08,811 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:6510 | proto=tcp | dur=-s
2026-03-08 12:51:08,812 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:5190 | proto=tcp | dur=-s
2026-03-08 12:51:08,813 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:8193 | proto=tcp | dur=-s
2026-03-08 12:51:08,814 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:9111 | proto=tcp | dur=-s
2026-03-08 12:51:08,814 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1805 | proto=tcp | dur=-s
2026-03-08 12:51:08,815 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:2022 | proto=tcp | dur=-s
2026-03-08 12:51:08,816 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:64623 | proto=tcp | dur=-s
2026-03-08 12:51:08,817 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1132 | proto=tcp | dur=-s
2026-03-08 12:51:08,818 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:2381 | proto=tcp | dur=-s
2026-03-08 12:51:08,819 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1084 | proto=tcp | dur=-s
2026-03-08 12:51:08,820 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:33 | proto=tcp | dur=-s
2026-03-08 12:51:08,820 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:8888 | proto=tcp | dur=-s
2026-03-08 12:51:08,821 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:22 | proto=tcp | dur=-s
2026-03-08 12:51:08,821 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:1025 | proto=tcp | dur=-s
2026-03-08 12:51:08,822 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:256 | proto=tcp | dur=-s
2026-03-08 12:51:08,824 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:587 | proto=tcp | dur=-s
2026-03-08 12:51:08,826 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:10001 | proto=tcp | dur=-s
2026-03-08 12:51:08,827 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:2046 | proto=tcp | dur=-s
2026-03-08 12:51:08,828 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:10628 | proto=tcp | dur=-s
2026-03-08 12:51:08,829 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:9593 | proto=tcp | dur=-s
2026-03-08 12:51:08,830 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:8080 | proto=tcp | dur=-s
2026-03-08 12:51:08,831 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:199 | proto=tcp | dur=-s
2026-03-08 12:51:08,832 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:21 | proto=tcp | dur=-s
2026-03-08 12:51:08,832 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:5900 | proto=tcp | dur=-s
2026-03-08 12:51:08,833 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45935 → 192.168.244.1:135 | proto=tcp | dur=-s
2026-03-08 12:51:08,835 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:8649 | proto=tcp | dur=-s
2026-03-08 12:51:08,836 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:5815 | proto=tcp | dur=-s
2026-03-08 12:51:08,837 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1075 | proto=tcp | dur=-s
2026-03-08 12:51:08,839 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:1086 | proto=tcp | dur=-s
2026-03-08 12:51:08,840 [ALERT] [ALERT] prob=1.000 | 192.168.244.128:45934 → 192.168.244.1:9090 | proto=tcp | dur=-s
