duration,orig_bytes,resp_bytes,proto
0.802426,731.0,0.0,1
0.530714,307.0,0.0,1
0.023845,94.0,342.0,1
0.020319,110.0,358.0,1
0.037283,124.0,366.0,1
0.0,0.0,0.0,1
0.012401,106.0,150.0,1
0.026568,84.0,318.0,1
0.013774,33.0,132.0,1
0.012356,66.0,324.0,1
0.21042,2128.0,3779.0,0
0.1207,2101.0,5155.0,0
0.265754,2128.0,3779.0,0
0.042313,90.0,338.0,1
0.013594,66.0,281.0,1
0.201926,2111.0,3744.0,0
0.231396,2111.0,3744.0,0
0.230554,2111.0,3744.0,0
0.233917,2111.0,3744.0,0
0.233339,2111.0,3744.0,0
0.047878,70.0,158.0,1
0.047267,35.0,108.0,1
0.034852,0.0,0.0,0
0.031136,76.0,252.0,1
0.02273,38.0,119.0,1
0.016633,38.0,119.0,1
0.154607,1899.0,3887.0,0
0.011769,74.0,118.0,1
0.013579,37.0,118.0,1
0.054409,37.0,118.0,1
0.026017,128.0,237.0,1
0.025095,64.0,157.0,1
0.021655,64.0,157.0,1
0.101981,94.0,328.0,1
0.099112,47.0,235.0,1
0.096078,47.0,235.0,1
0.040609,66.0,324.0,1
0.013987,33.0,132.0,1
0.015589,70.0,170.0,1
0.011384,35.0,119.0,1
0.123662,70.0,172.0,1
0.016493,35.0,115.0,1
0.028776,33.0,82.0,1
0.115119,52.0,124.0,1
0.028214,26.0,94.0,1
0.022001,64.0,256.0,1
0.019792,32.0,125.0,1
0.092564,60.0,286.0,1
0.018529,30.0,168.0,1
0.081247,70.0,202.0,1
0.03921,35.0,128.0,1
0.080522,74.0,418.0,1
0.016927,37.0,184.0,1
0.061449,76.0,332.0,1
0.01578,38.0,183.0,1
0.095496,70.0,155.0,1
0.017429,35.0,104.0,1
0.015687,30.0,114.0,1
0.070819,30.0,103.0,1
0.012156,40.0,109.0,1
0.078902,70.0,306.0,1
0.011438,35.0,174.0,1
0.088373,68.0,156.0,1
0.100821,80.0,168.0,1
0.087425,34.0,107.0,1
0.059387,90.0,450.0,1
0.017232,45.0,200.0,1
0.01439,31.0,115.0,1
0.051637,74.0,194.0,1
0.05132,37.0,93.0,1
0.078227,88.0,376.0,1
0.067819,44.0,131.0,1
0.039008,42.0,291.0,1
0.013641,32.0,57.0,1
0.042701,64.0,108.0,1
0.038549,64.0,108.0,1
0.201602,2126.0,10142.0,0
0.278414,2106.0,5148.0,0
0.279335,2106.0,5148.0,0
0.022634,66.0,167.0,1
0.012522,33.0,104.0,1
0.047461,72.0,360.0,1
0.011771,36.0,123.0,1
0.047078,29.0,124.0,1
0.055119,80.0,278.0,1
0.042514,40.0,168.0,1
0.033438,66.0,398.0,1
0.019375,33.0,196.0,1
0.044044,66.0,354.0,1
0.040631,33.0,117.0,1
0.018394,32.0,127.0,1
0.051531,74.0,310.0,1
0.03949,37.0,180.0,1
0.2451,2108.0,4566.0,0
0.176442,2097.0,7078.0,0
0.047349,66.0,110.0,1
0.032156,33.0,90.0,1
0.046746,70.0,114.0,1
0.033152,35.0,60.0,1
0.041005,42.0,67.0,1
0.035708,72.0,116.0,1
0.03029,36.0,93.0,1
0.036062,84.0,128.0,1
0.033225,42.0,99.0,1
0.039894,92.0,136.0,1
0.041638,46.0,96.0,1
0.255696,2118.0,4575.0,0
0.092233,66.0,110.0,1
0.028226,33.0,83.0,1
0.051321,88.0,132.0,1
0.036748,44.0,101.0,1
0.432177,2119.0,4549.0,0
0.054531,60.0,148.0,1
0.053878,30.0,103.0,1
0.099066,80.0,168.0,1
0.011652,40.0,109.0,1
0.022609,84.0,333.0,1
0.04008,108.0,356.0,1
5.004215,99.0,179.0,1
0.075052,66.0,502.0,1
5.095547,120.0,210.0,1
5.083503,120.0,188.0,1
0.042833,30.0,94.0,1
5.078064,124.0,445.0,1
5.09862,168.0,774.0,1
0.0,0.0,0.0,1
0.038793,86.0,235.0,1
0.017951,43.0,128.0,1
0.074046,70.0,306.0,1
0.017798,35.0,174.0,1
0.038681,68.0,156.0,1
0.036483,34.0,107.0,1
0.02971,33.0,82.0,1
5.032312,116.0,384.0,1
5.033766,128.0,393.0,1
0.012723,86.0,183.0,1
0.02358,33.0,82.0,1
0.054951,74.0,342.0,1
0.011176,45.0,200.0,1
0.046301,90.0,466.0,1
0.011065,31.0,115.0,1
0.012847,96.0,309.0,1
5.071477,168.0,215.0,1
0.117029,441.0,4251.0,0
0.041256,58.0,146.0,1
0.036674,36.0,109.0,1
0.034249,29.0,61.0,1
0.014556,62.0,151.0,1
0.011564,74.0,194.0,1
0.01195,37.0,93.0,1
0.073721,88.0,376.0,1
0.011216,44.0,131.0,1
0.041482,84.0,536.0,1
0.03709,42.0,291.0,1
0.01214,66.0,167.0,1
0.012061,33.0,104.0,1
0.013336,36.0,123.0,1
0.083689,72.0,360.0,1
